lat,long,z
70.17506313,-26.99313272,200
70.1750631,-26.99234013,201
70.17506306,-26.99154755,206
70.17506302,-26.99075496,216
70.17506298,-26.98996238,230
70.17506293,-26.9891698,243
70.17479417,-26.99471795,202
70.17479415,-26.99392538,198
70.17479412,-26.9931328,200
70.17479408,-26.99234023,202
70.17479405,-26.99154766,207
70.17479401,-26.99075509,215
70.17479397,-26.98996251,223
70.17479392,-26.98916994,238
70.17479387,-26.98837737,246
70.17452518,-26.99551058,219
70.17452516,-26.99471802,209
70.17452513,-26.99392546,204
70.17452511,-26.99313289,203
70.17452507,-26.99234033,205
70.17452504,-26.99154777,208
70.174525,-26.99075521,209
70.17452496,-26.98996264,217
70.17452491,-26.98917008,234
70.17452486,-26.98837752,247
70.17452481,-26.98758495,248
70.17452475,-26.98679239,259
70.17425617,-26.99551064,229
70.17425615,-26.99471809,220
70.17425612,-26.99392554,213
70.17425609,-26.99313298,210
70.17425606,-26.99234043,210
70.17425603,-26.99154788,208
70.17425599,-26.99075533,204
70.17425595,-26.98996277,214
70.1742559,-26.98917022,234
70.17425585,-26.98837767,240
70.1742558,-26.98758512,247
70.17425574,-26.98679256,260
70.17425568,-26.98600001,272
70.17398716,-26.9955107,235
70.17398714,-26.99471816,224
70.17398711,-26.99392562,219
70.17398708,-26.99313307,217
70.17398705,-26.99234053,215
70.17398702,-26.99154799,209
70.17398698,-26.99075545,207
70.17398693,-26.9899629,216
70.17398689,-26.98917036,230
70.17398684,-26.98837782,236
70.17398679,-26.98758528,245
70.17398673,-26.98679274,263
70.17398667,-26.98600019,273
70.17398661,-26.98520765,276
70.17398654,-26.98441511,282
70.17371815,-26.99551076,241
70.17371813,-26.99471823,230
70.1737181,-26.99392569,224
70.17371807,-26.99313316,221
70.17371804,-26.99234063,219
70.17371801,-26.9915481,212
70.17371797,-26.99075557,208
70.17371792,-26.98996303,215
70.17371788,-26.9891705,222
70.17371783,-26.98837797,233
70.17371777,-26.98758544,247
70.17371772,-26.98679291,263
70.17371766,-26.98600038,272
70.17371759,-26.98520784,276
70.17371753,-26.98441531,282
70.17371746,-26.98362278,293
70.17344914,-26.99551082,247
70.17344912,-26.99471829,235
70.17344909,-26.99392577,230
70.17344906,-26.99313325,228
70.17344903,-26.99234073,224
70.17344899,-26.99154821,216
70.17344895,-26.99075569,210
70.17344891,-26.98996317,212
70.17344887,-26.98917064,216
70.17344882,-26.98837812,230
70.17344876,-26.9875856,249
70.17344871,-26.98679308,262
70.17344865,-26.98600056,269
70.17344858,-26.98520804,274
70.17344852,-26.98441551,281
70.17344845,-26.98362299,294
70.17344837,-26.98283047,308
70.17318013,-26.99551087,252
70.1731801,-26.99471836,242
70.17318008,-26.99392585,236
70.17318005,-26.99313334,232
70.17318002,-26.99234083,228
70.17317998,-26.99154832,221
70.17317994,-26.99075581,214
70.1731799,-26.9899633,212
70.17317986,-26.98917078,217
70.17317981,-26.98837827,230
70.17317975,-26.98758576,246
70.1731797,-26.98679325,256
70.17317964,-26.98600074,263
